trait_type,trait_value,trait_unit,individual_pk,life_stage_general_initial,life_stage_general_final,species_reported,scientific_name
development,37.5,Days,TRAIND000045,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000046,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000047,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000048,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000049,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000050,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000051,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000052,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000053,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000054,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000055,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000056,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000057,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000058,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000059,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000060,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000061,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000062,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000063,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000064,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000065,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000066,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000067,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,43,Days,TRAIND000068,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000069,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000070,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000071,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000072,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000073,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000074,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000075,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000076,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000077,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000078,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000079,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000080,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000081,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000082,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000083,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000084,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000085,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000086,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000087,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000088,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000089,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,45,Days,TRAIND000090,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000091,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000092,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000093,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000094,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,45,Days,TRAIND000095,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,45,Days,TRAIND000096,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000097,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000098,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000099,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000100,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000101,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000102,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000103,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000104,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000105,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000106,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000107,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,35.5,Days,TRAIND000108,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,35,Days,TRAIND000109,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000110,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000111,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000112,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000113,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000114,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000115,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000116,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000117,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000118,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000119,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000120,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000121,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000122,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000123,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000124,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000125,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42,Days,TRAIND000126,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000127,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000128,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000129,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000130,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000131,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000132,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000133,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000134,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000135,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000136,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000137,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000138,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000139,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000140,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000141,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000142,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000143,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000144,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000145,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000146,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000147,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000148,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000149,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000150,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000151,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000152,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000153,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000154,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000155,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000156,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000157,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000158,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000159,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000160,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000161,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,44,Days,TRAIND000162,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000163,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000164,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000165,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000166,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42,Days,TRAIND000167,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000168,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000169,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000170,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000171,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000172,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000173,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000174,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000175,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000176,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000177,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000178,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000179,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,35.5,Days,TRAIND000180,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000181,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000182,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,44,Days,TRAIND000183,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000184,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000185,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000186,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000187,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000188,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000189,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000190,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000191,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000192,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000193,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000194,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000195,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000196,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000197,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000198,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000199,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000200,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000201,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000202,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000203,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000204,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000205,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000206,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000207,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000208,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000209,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000210,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000211,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000212,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000213,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000214,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,43,Days,TRAIND000215,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000216,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000217,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000218,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000219,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000220,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000221,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42.5,Days,TRAIND000222,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000223,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41.5,Days,TRAIND000224,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000225,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000226,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000227,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,45,Days,TRAIND000228,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000229,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000230,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000231,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000232,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000233,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000234,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000235,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000236,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000237,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000238,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000239,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000240,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000241,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000242,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000243,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000244,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000245,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36.5,Days,TRAIND000246,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000247,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000248,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000249,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000250,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000251,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,43.5,Days,TRAIND000252,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42,Days,TRAIND000253,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000254,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000255,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000256,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000257,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000258,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000259,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000260,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000261,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000262,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000263,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000264,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000265,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000266,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000267,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000268,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,43.5,Days,TRAIND000269,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000270,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000271,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42,Days,TRAIND000272,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000273,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000274,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
