genus_name,trait_type,trait_value,trait_unit,size_value_final,size_units,size_type,temperature,condition_label
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,30.41,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,36.78,milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,42.42,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,72,Days,36.29,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,42.15,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,39.12,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,43.34,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,32.72,milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,31.99,milligram,"fresh body mass",20,test
Chalcolestes,development,89,Days,35.34,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,44.64,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,38.07,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,36.48,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,36.19,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,37.05,milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,37.43,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,34.12,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,40.77,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,35.42,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,45.96,milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,28.51,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,41.71,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,38.17,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,38.21,milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,37.84,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,38.43,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,94,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,42.03,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,29.74,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,39.32,milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,35.01,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,45.23,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,39.19,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,38.14,milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,37.64,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,41.16,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,38.42,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,42.52,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,38.06,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,35.65,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,49.04,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,37.28,milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,32.74,milligram,"fresh body mass",20,test
Chalcolestes,development,84,Days,29.93,milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,37.73,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,38.58,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,44.49,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,38.08,milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,41.96,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,42.56,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,49.48,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,38.94,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,38.17,milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,27.87,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,38.2,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,46.09,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,37.78,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,44.11,milligram,"fresh body mass",20,test
Chalcolestes,development,71,Days,44.97,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,38.62,milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,42.02,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,38.3,milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,36.38,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,42.88,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,44.38,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,44.82,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,43.2,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,84,Days,38.46,milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,28.02,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,29.38,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,32.68,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,24.71,milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,4346,milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,37.15,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,33.5,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,30.73,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,45.08,milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,30.83,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,42.3,milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,33.08,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,38.98,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,40.21,milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,34.77,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,34.23,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,42.91,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,43.45,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,37.79,milligram,"fresh body mass",20,test
Chalcolestes,development,84,Days,37.71,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,55.49,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,44.53,milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,34.6,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,40.7,milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,30.91,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,36.39,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,40.1,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,42.4,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,42.68,milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,32.39,milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,40.08,milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,32.08,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,38.53,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,77,Days,46.38,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,37.13,milligram,"fresh body mass",20,test
Chalcolestes,development,72,Days,37.06,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,37.46,milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,40.98,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,74,Days,29.49,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,40.83,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,42.16,milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,43.13,milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,47.17,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,36.79,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,97,Days,39.43,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,36.37,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,43.18,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,72,Days,36.06,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,31.71,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,41.44,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,49.53,milligram,"fresh body mass",20,test
Chalcolestes,development,73,Days,32.91,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,45.97,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,97,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,97,Days,37.1,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,40.54,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,95,Days,39.98,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,40.49,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,29.29,milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,35.79,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,93,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,93,Days,34.22,milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,57.95,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,39.22,milligram,"fresh body mass",20,test
Chalcolestes,development,94,Days,40.57,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,96,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,93,Days,36.95,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,43.75,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,44.19,milligram,"fresh body mass",20,test
Chalcolestes,development,96,Days,44.54,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,89,Days,43.29,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,95,Days,43.22,milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,37.87,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,95,Days,40.04,milligram,"fresh body mass",20,test
Chalcolestes,development,95,Days,37.43,milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,39.37,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,42.43,milligram,"fresh body mass",20,test
Chalcolestes,development,101,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,93,Days,42.81,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,94,Days,41.6,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,95,Days,41.52,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,36.73,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,39.08,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,33.32,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,86,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,92,Days,39.67,milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,93,Days,36.78,milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,41.83,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,97,Days,42.26,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,45.97,milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,45.23,milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,46.5,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,83,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,87,Days,52.04,milligram,"fresh body mass",20,test
Chalcolestes,development,76,Days,42.41,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,92,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,37.13,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,41.16,milligram,"fresh body mass",20,test
Chalcolestes,development,111,Days,33.75,milligram,"fresh body mass",20,test
Chalcolestes,development,111,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,114,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,97,Days,34.48,milligram,"fresh body mass",20,test
Chalcolestes,development,96,Days,30.79,milligram,"fresh body mass",20,test
Chalcolestes,development,116,Days,29.14,milligram,"fresh body mass",20,test
Chalcolestes,development,101,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,114,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,94,Days,30.42,milligram,"fresh body mass",20,test
Chalcolestes,development,99,Days,"",milligram,"fresh body mass",20,test
